payer_name,bucket,specification
Molina Oncology,Commercial,Molina
MultiPlan/PHCS,Commercial,Other Commercial
Multiplan,Commercial,Other Commercial
NASSAU COUNTY HEALTH DEPARTMENT [500021],Commercial,Other Commercial
NASSAU COUNTY SHERIFF'S OFFICE [500016],Commercial,Other Commercial
NASSAU LIFE AND ANNUITY [100346],Commercial,Other Commercial
NATIONWIDE AUTO [750007],Commercial,Nationwide
NDMS,Commercial,Other Commercial
NEIBP [100336],Commercial,Other Commercial
NEMOURS RESEARCH [500029],Commercial,Other Commercial
NEW ERA LIFE INSURANCE [100350],Commercial,Other Commercial
NODE,Commercial,Node
NON CONTRACTED,Commercial,Other Commercial
NON CONTRACTED MEDICARE,Government,Medicare
NORTHEAST FLORIDA STATE HOSPITAL [500018],Commercial,Other Commercial
Neighborhood Health Partnership,Commercial,Other Commercial
OCCUNET,Commercial,Occunet
OCCUNET STUDENT ATHLETES [500015],Commercial,Occunet
OFFICE OF THE ATTORNEY GENERAL [500022],Government,Other Government
OPTIMED HEALTH [100382],Commercial,Optimed
OSCAR INSURANCE COMPANY [100273],Commercial,Oscar
Occunet,Commercial,Occunet
Optimum,Commercial,Optimum
Optum,Commercial,Optum
OptumHealth Care Solutions,Commercial,Optum
Oscar,Commercial,Oscar
Oscar Health,Commercial,Oscar
Oscar Health Oncology,Commercial,Oscar
Oscar Health of FL,Commercial,Oscar
PACE PARTNERS [500030],Commercial,Pace
PAN AMERICAN LIFE [100368],Commercial,Pan
PARAMOUNT ADVANTAGE [100322],Commercial,Paramount
PEACH STATE HEALTH PLAN [450120],Commercial,Peach State
PEHP HEALTH AND BENEFITS [100391],Commercial,Other Commercial
PHCS,Commercial,PHCS
PHILADELPHIA AMERICAN LIFE INSURANCE [100318],Commercial,Other Commercial
PHYSICIANS MUTUAL [100335],Commercial,Other Commercial
PIP AUTO [750015],Commercial,Other Commercial
PNOA,Commercial,Other Commercial
PRESTIGE HEALTH CHOICE [450123],Commercial,Prestige
PRIME HEALTH SERVICES,Commercial,Prime
PRINCIPAL LIFE INSURANCE [100351],Commercial,Other Commercial
PRIVATE HEALTHCARE SYSTEMS FL,Commercial,Other Commercial
PRIVATE HEALTHCARE SYSTEMS [100274],Commercial,Other Commercial
PROGRESSIVE AUTO [750004],Commercial,Progressive
PROMEDICA HOSPICE [500032],Commercial,Promedica
PROSPERITY LIFE GROUP [100372],Commercial,Prosperity
Palm Beach ACO Reach,Commercial,Palm Beach
Palm Beach PACE,Commercial,Palm Beach
Ped-I-Care,Commercial,Ped-I-Care
Plotkin,Commercial,Plotkin
Preferred Care Partners,Commercial,Preferred Care Partners
Premier Health,Commercial,Premier Health
Prestige,Commercial,Prestige
Prime,Commercial,Prime
Prime Health Services,Commercial,Prime
Provider Network of America,Commercial,Provider Network of America
Putnam,Commercial,Putnam
QUALITY HEALTH,Commercial,Quality Health
Quality Health Management,Commercial,Quality Health
Quik Trip,Commercial,Quik Trip
REGIONAL CARE INC [100373],Commercial,Regional Care
RESEARCH MEDICARE [400003],Government,Medicare
Rockport,Commercial,Rockport
S&S HEALTH [100361],Commercial,S&S Health
SEAFARERS HEALTH AND BENEFIT ALT [10035201],Commercial,Seafarers
SEAFARERS HEALTH AND BENEFIT [100352],Commercial,Seafarers
SECURE,Unknown,Unknown
SELECTHEALTH [450145],Commercial,Select Health
SELMAN AND COMPANY [100323],Commercial,Selman and Company
SEMINOLE TRIBE OF FL,Government,Other Government
SILAC [100365],Commercial,Silac
SIMPLY HEALTHCARE MEDICAID [450117],Government,Medicaid
SIMPLY HEALTHCARE PLAN MCD,Government,Medicaid
SIMPLY HEALTHCARE [100262],Commercial,Simply
SIMPLY HEALTHCARE [250309],Commercial,Simply
SMARTHEALTH,Commercial,Smarthealth
SOLIS HEALTH PLANS [450146],Commercial,Solis
ST JOHNS COUNTY SHERIFF'S OFFICE [500027],Government,Other Government
STAR HEALTHCARE NETWORK FL,Commercial,Star
STATE FARM AUTO [750003],Commercial,State Farm
STATE FARM HEALTH INSURANCE [100383],Commercial,State Farm
SUNSHINE,Commercial,Sunshine
SUNSHINE STATE,Commercial,Sunshine
SUNSHINE STATE HEALTH PLAN [250311],Commercial,Sunshine
SUNSHINE STATE HEALTH PLAN [450111],Commercial,Sunshine
Seguro Reservas International,Commercial,Other Commercial
Self,Self Pay,Self Pay
Self Pay,Self Pay,Self Pay
Simply,Commercial,Simply
Simply Freedom Optimum,Commercial,Simply
Simply Freedom Optimum Oncology,Commercial,Simply
Simply Healthcare,Commercial,Simply
Simply Healthcare Oncology,Commercial,Simply
Simply Healthcare/Clear Health Alliance,Commercial,Simply
Simply Healthy Kids,Commercial,Simply
Solis,Commercial,Solis
Solis Health,Commercial,Solis
Star Healthcare Network,Commercial,Star
State,Unknown,Unknown
Sunshine,Commercial,Sunshine
Sunshine Health,Commercial,Sunshine
Sunshine State,Commercial,Sunshine
Sunshine State Health Plan,Commercial,Sunshine
Sunshine State Health Plan Healthy Kids,Commercial,Sunshine
Sunshine State Oncology,Commercial,Sunshine
TEAMSTERS CENTRAL PA AND WELFARE [100386],Government,Other Government
THE HARTFORD [700076],Commercial,Hartford
THE HEALTH PLAN [100305],Unknown,Unknown
THE LOOMIS COMPANY [100328],Commercial,Loomis
THRIVENT [100326],Commercial,Thrivent
TRANSAMERICA LIFE [100306],Commercial,Transamerica
TRICARE,Government,VA
TRICARE FL,Government,VA
TRICARE [600001],Government,VA
TRIWEST,Government,VA
TRULI,Commercial,Truli
TRUSTMARK HEALTH BENEFITS [100327],Commercial,Trustmark
TUFTS HEALTH PLAN [100324],Commercial,Tufts
Tour + Med Assistance International,Commercial,Tour
Tricare Military (Humana Behavioral Health),Government,VA
Trident Global Assistance International,Commercial,Trident
UF HEALTH DIRECT CARE HMO [100267],Commercial,UF Health
UF HEALTH PROTON THERAPY INSTITUTE [500017],Commercial,UF Health
UHC,Commercial,United Health Care
UHC EMPIRE [100284],Commercial,United Health Care
UHC HMO,Commercial,United Health Care
UHC NHP,Commercial,United Health Care
UHC PPO,Commercial,United Health Care
UHC WELLMED MCR REPLACEMENT,Government,Medicare
UHP ADMINISTRATORS [100353],Commercial,United Health Care
UNICARE [100307],Commercial,Unicare
UNIFIED LIFE INSURANCE COMPANY [100337],Commercial,Unified Life Insurance Company
